anno,IstatComune,Regione,Provincia,Comune,Popolazione,Dato riferito a,Frazione umida(1) (t),Verde (t),Carta e cartone (t),Vetro (t),Legno (t),Metallo (t),Plastica (t),RAEE (t),Tessili (t),Selettiva (t),Rifiuti da C e D (t),Pulizia stradale a recupero (t),Ingombranti misti a recupero (t),Altro (t),Totale RD (t),Ingombranti a smaltimento (t),Indifferenziato (t),Totale RU (t),Percentuale RD (%)
2012,060060,Lazio,Frosinone,ROCCASECCA,7515,Comune,-,1.700,-,-,-,-,-,-,5.310,-,-,-,-,-,7.010,-,2990.100,2997.110,0.23
2012,060061,Lazio,Frosinone,SAN BIAGIO SARACINISCO,358,Comune,-,-,8.880,12.452,-,0.087,3.471,0.040,-,-,-,-,-,-,24.930,1.800,92.180,118.910,20.97
2012,060062,Lazio,Frosinone,SAN DONATO VAL DI COMINO,2124,Aggregazione: Unione Comuni 'Val Comino',369.540,-,467.820,467.900,36.220,11.550,220.274,30.523,16.650,0.135,-,-,-,-,1620.612,-,3167.870,4788.482,33.84
2012,060063,Lazio,Frosinone,SAN GIORGIO A LIRI,3171,Comune,-,-,3.440,-,-,-,0.540,-,-,-,-,-,-,0.011,3.991,-,1690.640,1694.631,0.24
2012,060064,Lazio,Frosinone,SAN GIOVANNI INCARICO,3414,Aggregazione: Unione Comuni Antica Terra di Lavoro,420.320,-,137.213,175.740,0.011,5.906,86.618,27.108,7.393,-,-,-,43.860,-,904.170,12.800,5062.813,5979.783,15.12
2012,060070,Lazio,Frosinone,SAN VITTORE DEL LAZIO,2667,Comune,-,-,-,-,-,-,-,-,1.330,0.022,-,-,-,-,1.352,-,1032.720,1034.072,0.13
2012,060065,Lazio,Frosinone,SANT'AMBROGIO SUL GARIGLIANO,985,Comune,-,-,5.421,22.624,0.000,1.892,9.017,1.120,0.004,-,-,-,2.060,-,42.138,-,156.276,198.414,21.24
2012,060066,Lazio,Frosinone,SANT'ANDREA DEL GARIGLIANO,1556,Comune,-,-,15.420,24.640,-,2.820,13.010,2.340,-,-,-,-,5.220,-,63.450,-,225.780,289.230,21.94
2012,060067,Lazio,Frosinone,SANT'APOLLINARE,1932,Comune,-,0.820,17.280,45.640,-,-,20.200,-,-,0.125,-,-,-,-,84.065,2.780,340.760,427.605,19.66
2012,060068,Lazio,Frosinone,SANT'ELIA FIUMERAPIDO,6234,Comune,-,-,56.200,136.900,-,-,67.360,-,-,0.960,-,-,104.780,-,366.200,-,1419.120,1785.320,20.51
2012,060069,Lazio,Frosinone,SANTOPADRE,1406,Comune,-,-,4.380,1.710,-,0.220,0.290,-,-,-,-,-,-,-,6.600,-,422.240,428.840,1.54
2012,060071,Lazio,Frosinone,SERRONE,3054,Comune,162.720,-,42.364,50.607,9.670,8.420,33.960,7.690,6.530,-,-,-,-,-,321.961,12.360,548.020,882.341,36.49
2012,060072,Lazio,Frosinone,SETTEFRATI,786,Vedi aggregazione: Unione Comuni 'Val Comino',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,060073,Lazio,Frosinone,SGURGOLA,2621,Comune,-,-,-,-,-,-,6.820,-,-,-,-,-,-,-,6.820,-,987.480,994.300,0.69
2012,060074,Lazio,Frosinone,SORA,26241,Comune,243.440,83.620,915.520,386.540,64.920,32.680,166.820,122.390,92.280,3.800,-,-,-,-,2112.010,-,11899.960,14011.970,15.07
2012,060075,Lazio,Frosinone,STRANGOLAGALLI,2498,Comune,-,-,44.780,61.410,-,-,96.990,7.820,-,-,-,-,-,-,211.000,-,395.360,606.360,34.80
2012,060076,Lazio,Frosinone,SUPINO,4893,Comune,-,-,128.500,152.120,29.200,17.100,97.160,20.671,1.226,-,-,-,-,-,445.977,-,1047.040,1493.017,29.87
2012,060077,Lazio,Frosinone,TERELLE,461,Comune,-,-,2.662,3.096,0.000,0.336,1.350,-,0.003,-,-,-,0.600,-,8.047,-,141.456,149.503,5.38
2012,060078,Lazio,Frosinone,TORRE CAJETANI,1387,Comune,53.497,-,14.815,4.235,1.018,6.272,16.191,8.370,1.130,0.064,-,-,-,-,105.592,-,230.248,335.840,31.44
2012,060079,Lazio,Frosinone,TORRICE,4614,Comune,-,-,48.872,81.856,0.001,2.016,8.100,4.190,2.848,-,-,-,11.240,0.880,160.003,-,1478.556,1638.559,9.77
2012,060080,Lazio,Frosinone,TREVI NEL LAZIO,1854,Comune,-,-,13.620,10.913,0.001,1.184,9.279,-,0.011,-,-,-,11.840,-,46.847,3.760,1161.614,1212.221,3.87
2012,060081,Lazio,Frosinone,TRIVIGLIANO,1692,Comune,54.200,-,33.564,5.397,13.680,7.775,17.712,8.680,1.760,0.065,-,-,-,-,142.833,-,244.020,386.853,36.92
2012,060082,Lazio,Frosinone,VALLECORSA,2808,Comune,-,-,27.580,24.820,-,2.380,12.420,-,-,-,-,-,-,-,67.200,-,803.960,871.160,7.71
2012,060083,Lazio,Frosinone,VALLEMAIO,1001,Comune,-,0.080,4.920,4.383,-,2.922,21.915,3.976,-,-,-,-,2.220,-,40.416,-,135.400,175.816,22.99
2012,060084,Lazio,Frosinone,VALLEROTONDA,1661,Comune,-,-,-,-,-,-,-,-,-,-,-,-,29.460,-,29.460,-,627.020,656.480,4.49
2012,060085,Lazio,Frosinone,VEROLI,20755,Comune,286.920,-,378.687,453.532,0.009,17.088,68.657,30.075,0.153,0.770,-,-,-,0.500,1236.391,-,7344.736,8581.127,14.41
2012,060086,Lazio,Frosinone,VICALVI,805,Vedi aggregazione: Unione Comuni 'Val Comino',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,060087,Lazio,Frosinone,VICO NEL LAZIO,2253,Comune,132.160,-,55.220,86.060,-,3.451,60.920,-,5.500,0.013,-,-,1.500,-,344.824,2.240,209.589,556.653,61.95
2012,060088,Lazio,Frosinone,VILLA LATINA,1281,Comune,-,-,13.465,11.554,-,-,3.450,-,-,-,-,-,-,-,28.469,-,419.000,447.469,6.36
2012,060089,Lazio,Frosinone,VILLA SANTA LUCIA,2639,Vedi aggregazione: UNIONE CINQUECITTA',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,060090,Lazio,Frosinone,VILLA SANTO STEFANO,1702,Comune,-,-,8.605,13.514,0.001,1.467,5.893,-,0.013,0.008,-,-,2.240,-,31.741,-,563.211,594.952,5.34
2012,060091,Lazio,Frosinone,VITICUSO,371,Comune,-,-,-,3.600,-,-,0.440,-,-,-,-,-,3.300,-,7.340,-,134.120,141.460,5.19
2012,059001,Lazio,Latina,APRILIA,66958,Comune,295.830,511.940,1216.130,762.380,326.200,59.455,319.482,216.355,90.130,29.131,-,-,4.800,36.530,3868.363,408.780,34739.782,39016.925,9.92
2012,059002,Lazio,Latina,BASSIANO,1585,Comune,153.770,0.780,31.600,40.016,-,10.004,31.192,3.840,-,0.130,-,-,30.790,0.260,302.382,-,404.808,707.190,42.76
2012,059003,Lazio,Latina,CAMPODIMELE,639,Comune,68.400,-,13.400,37.800,-,2.200,25.900,2.100,-,-,-,-,14.000,2.400,166.200,-,73.000,239.200,69.48
2012,059004,Lazio,Latina,CASTELFORTE,4397,Comune,478.460,-,119.260,131.810,-,5.800,72.010,9.345,-,4.987,-,-,45.175,0.900,867.747,-,578.140,1445.887,60.02
2012,059005,Lazio,Latina,CISTERNA DI LATINA,35570,Comune,1494.320,2168.590,679.528,418.817,173.084,45.453,279.484,91.250,42.936,10.062,-,-,515.110,50.200,5968.833,-,12856.109,18824.942,31.71
2012,059006,Lazio,Latina,CORI,11064,Comune,909.260,149.480,132.270,255.070,49.700,22.620,172.720,-,0.400,-,-,-,119.360,4.960,1815.840,-,1802.500,3618.340,50.18
2012,059007,Lazio,Latina,FONDI,37202,Comune,-,638.850,1088.800,601.000,-,43.620,232.200,55.455,48.600,8.303,-,-,-,6.700,2723.528,308.010,20551.590,23583.128,11.55
2012,059008,Lazio,Latina,FORMIA,36292,Comune,2468.800,1130.380,1326.585,484.896,385.048,52.624,763.967,163.645,84.810,13.772,-,-,117.230,6.300,6998.057,-,13284.268,20282.325,34.50
2012,059009,Lazio,Latina,GAETA,20720,Comune,141.520,220.100,548.490,305.456,-,3.040,153.720,22.622,53.640,0.600,-,-,267.940,-,1717.128,-,12296.450,14013.578,12.25
2012,059010,Lazio,Latina,ITRI,10479,Comune,603.500,54.360,181.080,300.240,105.980,74.380,154.880,48.208,25.280,4.265,-,-,135.420,-,1687.593,-,1551.830,3239.423,52.10
2012,059011,Lazio,Latina,LATINA,117760,Comune,9421.500,2011.120,4002.515,2697.552,842.379,292.528,1009.474,373.435,2.151,47.398,-,-,219.230,78.690,20997.972,-,47232.351,68230.323,30.78
2012,059012,Lazio,Latina,LENOLA,4157,Comune,293.280,-,65.800,-,7.640,11.660,45.230,0.140,14.750,-,-,-,-,-,438.500,2.180,457.750,898.430,48.81
2012,059013,Lazio,Latina,MAENZA,3067,Comune,152.920,-,46.900,88.980,0.050,9.660,38.800,-,-,0.032,-,-,-,-,337.342,-,438.770,776.112,43.47
2012,059014,Lazio,Latina,MINTURNO,19469,Comune,135.780,119.790,401.130,214.810,-,-,218.090,44.220,-,1.160,-,-,213.280,3.100,1351.360,-,10415.490,11766.850,11.48
2012,059015,Lazio,Latina,MONTE SAN BIAGIO,6138,Comune,555.990,-,126.040,141.660,-,23.240,65.740,13.555,-,0.620,-,-,31.900,4.320,963.065,-,966.360,1929.425,49.92
2012,059016,Lazio,Latina,NORMA,4032,Comune,376.920,3.240,35.408,287.990,0.017,31.255,125.577,23.740,1.059,-,-,-,68.770,0.120,954.096,-,620.490,1574.586,60.59
2012,059017,Lazio,Latina,PONTINIA,13825,Comune,490.580,52.500,445.613,252.928,0.015,27.450,110.288,16.995,11.935,0.750,-,-,82.360,1.620,1493.033,-,5985.232,7478.265,19.97
2012,059018,Lazio,Latina,PONZA,3245,Comune,-,-,25.000,27.840,18.380,-,8.520,3.540,-,1.000,-,-,-,-,84.280,23.700,2260.240,2368.220,3.56
2012,059019,Lazio,Latina,PRIVERNO,13922,Comune,-,1.120,335.480,154.481,-,63.416,114.209,57.143,-,0.650,-,-,0.820,10.670,737.989,-,5473.930,6211.919,11.88
2012,059020,Lazio,Latina,PROSSEDI,1230,Comune,103.420,-,45.970,50.377,0.003,6.967,21.967,4.500,0.049,-,-,-,14.300,12.200,259.753,-,319.319,579.072,44.86
2012,059022,Lazio,Latina,ROCCA MASSIMA,1100,Comune,14.680,-,31.130,30.190,0.020,3.060,12.630,3.035,0.497,0.060,-,-,-,-,95.302,1.680,377.370,474.352,20.09
2012,059021,Lazio,Latina,ROCCAGORGA,4578,Comune,441.940,0.000,77.130,50.000,0.000,151.300,111.370,20.380,50.000,1.110,-,-,16.190,0.000,919.420,-,495.400,1414.820,64.99
2012,059023,Lazio,Latina,ROCCASECCA DEI VOLSCI,1127,Comune,48.160,-,14.401,22.199,0.001,2.409,9.680,1.765,0.022,-,-,-,10.000,2.970,111.608,-,245.612,357.220,31.24
2012,059024,Lazio,Latina,SABAUDIA,18827,Comune,2087.080,551.120,811.442,1133.059,0.022,41.053,179.183,26.015,0.367,1.820,-,-,177.590,9.080,5017.831,-,4530.693,9548.524,52.55
2012,059025,Lazio,Latina,SAN FELICE CIRCEO,8726,Comune,-,305.010,169.900,135.520,88.900,-,65.080,31.242,7.240,1.051,-,-,131.080,78.540,1013.563,-,9827.800,10841.363,9.35
2012,059026,Lazio,Latina,SANTI COSMA E DAMIANO,6889,Comune,728.520,-,220.740,195.690,0.000,17.980,134.130,12.230,3.155,2.763,-,-,63.815,0.000,1379.023,-,838.120,2217.143,62.20
2012,059027,Lazio,Latina,SERMONETA,9230,Comune,939.100,208.320,260.839,356.336,63.450,19.868,76.088,34.275,8.949,9.148,-,-,95.440,73.520,2145.333,-,1047.600,3192.932,67.19
2012,059028,Lazio,Latina,SEZZE,24196,Comune,777.820,70.400,329.600,336.380,-,31.050,76.640,24.963,-,0.640,-,-,257.550,13.660,1918.703,-,9795.135,11713.838,16.38
2012,059029,Lazio,Latina,SONNINO,7285,Comune,536.220,-,106.307,222.403,20.852,30.264,91.946,9.945,0.204,-,-,-,32.840,-,1050.983,-,1114.523,2165.506,48.53
2012,059030,Lazio,Latina,SPERLONGA,3326,Comune,-,145.120,63.169,301.699,47.417,13.173,66.597,7.940,8.228,4.658,-,-,-,0.600,658.600,-,2517.783,3176.383,20.73
2012,059031,Lazio,Latina,SPIGNO SATURNIA,2906,Comune,200.620,-,105.350,78.870,-,6.780,59.710,3.245,-,1.997,-,-,-,0.160,456.732,-,307.630,764.362,59.75
2012,059032,Lazio,Latina,TERRACINA,44254,Comune,947.360,235.360,955.598,427.035,0.011,23.098,83.885,89.005,14.736,5.876,-,-,693.880,7.020,3482.864,9.990,30826.965,34319.819,10.15
2012,059033,Lazio,Latina,VENTOTENE,692,Comune,94.860,3.920,87.920,92.760,4.280,11.950,33.900,16.320,-,3.080,-,-,-,5.440,354.430,333.240,982.549,1670.219,21.22
2012,057001,Lazio,Rieti,ACCUMOLI,654,Comune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,392.180,392.180,-
2012,057002,Lazio,Rieti,AMATRICE,2635,Comune,-,-,-,-,-,-,-,5.400,-,1.060,-,-,-,1.780,8.240,29.020,1796.560,1833.820,0.45
2012,057003,Lazio,Rieti,ANTRODOCO,2709,Comune,-,-,151.160,-,-,-,-,3.180,-,-,-,-,-,-,154.340,11.480,1153.240,1319.060,11.70
2012,057004,Lazio,Rieti,ASCREA,264,Comune,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,0.000,0.000,-,-,-,0.000,0.000,-,116.200,116.200,0.00
2012,057005,Lazio,Rieti,BELMONTE IN SABINA,642,Comune,-,-,0.160,4.790,-,0.520,2.090,0.380,-,-,-,-,-,-,7.940,-,255.220,263.160,3.02
2012,057006,Lazio,Rieti,BORBONA,652,Comune,-,-,2.356,4.747,0.000,0.515,2.070,7.600,0.005,0.300,-,-,-,-,17.594,-,327.911,345.505,5.09
2012,057008,Lazio,Rieti,BORGO VELINO,989,Comune,-,-,0.692,1.659,0.000,0.137,0.719,0.580,0.001,-,-,-,2.180,-,5.967,-,500.434,506.401,1.18
2012,057007,Lazio,Rieti,BORGOROSE,4628,Comune,-,-,8.936,12.940,0.000,0.349,3.274,-,7.593,-,-,-,-,-,33.093,-,2342.191,2375.283,1.39
2012,057009,Lazio,Rieti,CANTALICE,2723,Comune,-,17.740,8.640,4.200,-,-,4.740,1.660,-,-,-,-,7.200,-,44.180,0.880,944.360,989.420,4.47
2012,057010,Lazio,Rieti,CANTALUPO IN SABINA,1730,Vedi aggregazione: Unione 'Bassa Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057011,Lazio,Rieti,CASAPROTA,722,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057012,Lazio,Rieti,CASPERIA,1226,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057013,Lazio,Rieti,CASTEL DI TORA,297,Comune,-,-,2.104,19.090,-,0.760,3.720,-,-,-,-,-,-,-,25.674,3.480,136.530,165.684,15.50
2012,057015,Lazio,Rieti,CASTEL SANT'ANGELO,1283,Comune,-,-,0.019,0.568,0.000,0.062,0.248,-,0.001,-,-,-,-,-,0.896,-,610.345,611.241,0.15
2012,057014,Lazio,Rieti,CASTELNUOVO DI FARFA,1048,Vedi aggregazione: Unione dei Comuni della Valle dell'Olio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057016,Lazio,Rieti,CITTADUCALE,6884,Comune,-,87.820,29.075,32.290,33.160,-,5.360,10.600,-,-,-,-,-,0.160,198.465,-,3101.740,3300.205,6.01
2012,057017,Lazio,Rieti,CITTAREALE,469,Comune,-,-,0.840,1.300,-,-,0.660,0.280,-,-,-,-,-,-,3.080,-,289.780,292.860,1.05
2012,057018,Lazio,Rieti,COLLALTO SABINO,440,Comune,-,-,1.501,48.763,7.003,4.945,20.468,32.000,0.044,-,-,-,-,4.600,119.323,-,261.294,380.617,31.35
2012,057019,Lazio,Rieti,COLLE DI TORA,388,Comune,-,-,7.845,4.386,0.000,0.476,2.513,1.800,0.004,-,-,-,-,-,17.024,-,201.581,218.605,7.79
2012,057020,Lazio,Rieti,COLLEGIOVE,169,Comune,-,-,-,2.300,-,-,-,-,-,-,-,-,-,-,2.300,-,86.730,89.030,2.58
2012,057021,Lazio,Rieti,COLLEVECCHIO,1591,Comune,-,-,20.710,18.310,-,-,18.600,5.685,1.362,0.020,-,-,10.600,-,75.287,3.260,597.610,676.157,11.14
2012,057022,Lazio,Rieti,COLLI SUL VELINO,520,Comune,-,-,1.603,3.137,0.000,0.341,1.368,1.000,0.003,-,-,-,-,-,7.452,-,183.631,191.083,3.90
2012,057023,Lazio,Rieti,CONCERVIANO,311,Comune,-,-,2.920,-,-,-,-,-,-,-,-,-,-,-,2.920,-,141.000,143.920,2.03
2012,057024,Lazio,Rieti,CONFIGNI,670,Aggregazione: Comunita   Montana della Val d'Aia,-,-,1.060,2.600,-,-,-,-,-,-,-,-,-,-,3.660,9.700,700.000,713.360,0.51
2012,057025,Lazio,Rieti,CONTIGLIANO,3575,Comune,-,105.160,47.060,1.197,0.000,0.130,2.602,18.040,0.001,-,-,-,80.580,-,254.770,-,1472.772,1727.541,14.75
2012,057026,Lazio,Rieti,COTTANELLO,566,Vedi aggregazione: Comunita   Montana della Val d'Aia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057027,Lazio,Rieti,FARA IN SABINA,12309,Comune,-,-,196.760,56.440,-,4.700,25.860,-,14.500,4.940,-,-,650.660,-,953.860,-,5674.690,6628.550,14.39
2012,057028,Lazio,Rieti,FIAMIGNANO,1445,Comune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,709.760,709.760,-
2012,057029,Lazio,Rieti,FORANO,2924,Vedi aggregazione: Unione 'Bassa Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057030,Lazio,Rieti,FRASSO SABINO,684,Vedi aggregazione: Unione dei Comuni della Valle dell'Olio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057031,Lazio,Rieti,GRECCIO,1509,Comune,-,-,9.700,17.200,-,-,6.740,-,-,-,-,-,-,-,33.640,-,737.100,770.740,4.37
2012,057032,Lazio,Rieti,LABRO,345,Comune,-,-,-,-,-,-,-,0.400,1.730,-,-,-,1.600,-,3.730,-,183.560,187.290,1.99
2012,057033,Lazio,Rieti,LEONESSA,2466,Comune,-,-,-,-,-,-,-,-,-,0.540,-,-,2.760,-,3.300,-,1390.140,1393.440,0.24
2012,057034,Lazio,Rieti,LONGONE SABINO,581,Comune,-,-,2.617,7.942,0.005,0.862,3.463,-,0.077,-,-,-,13.060,-,28.026,1.400,236.463,265.889,10.54
2012,057035,Lazio,Rieti,MAGLIANO SABINA,3799,Comune,179.706,-,199.140,114.900,33.560,38.100,78.100,12.600,-,1.390,-,-,27.940,1.810,687.246,-,1123.980,1811.226,37.94
2012,057036,Lazio,Rieti,MARCETELLI,95,Comune,-,-,0.560,0.500,0.500,1.000,0.500,-,0.500,-,-,-,-,-,3.560,-,36.880,40.440,8.80
2012,057037,Lazio,Rieti,MICIGLIANO,130,Comune,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-,-,-,0.000,0.000,-,90.420,90.420,0.00
2012,057038,Lazio,Rieti,MOMPEO,538,Comune,-,-,6.230,7.920,-,0.220,5.020,-,-,0.060,-,-,-,-,19.450,25.200,166.110,210.760,9.23
2012,057039,Lazio,Rieti,MONTASOLA,407,Vedi aggregazione: Comunita   Montana della Val d'Aia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057043,Lazio,Rieti,MONTE SAN GIOVANNI IN SABINA,744,Comune,-,-,5.220,2.880,-,-,2.780,2.880,-,0.100,-,-,-,0.650,14.510,-,287.020,301.530,4.81
2012,057040,Lazio,Rieti,MONTEBUONO,916,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057041,Lazio,Rieti,MONTELEONE SABINO,1227,Aggregazione: Unione dei Comuni della Valle dell'Olio,1.313,-,51.108,80.659,-,3.746,28.836,3.420,-,0.080,-,-,8.415,0.540,178.117,-,2139.410,2317.527,7.69
2012,057042,Lazio,Rieti,MONTENERO SABINO,296,Comune,-,-,0.040,1.720,-,0.130,0.520,-,-,-,-,-,-,-,2.410,1.160,76.270,79.840,3.02
2012,057044,Lazio,Rieti,MONTOPOLI DI SABINA,4220,Vedi aggregazione: Unione 'Bassa Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057045,Lazio,Rieti,MORRO REATINO,348,Comune,-,-,3.540,10.720,-,-,1.740,-,-,-,-,-,-,0.140,16.140,5.020,145.820,166.980,9.67
2012,057046,Lazio,Rieti,NESPOLO,272,Comune,-,-,2.270,1.500,2.100,2.000,1.000,-,-,-,-,-,-,-,8.870,-,113.480,122.350,7.25
2012,057047,Lazio,Rieti,ORVINIO,449,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057048,Lazio,Rieti,PAGANICO,173,Comune,-,-,1.276,2.460,0.000,0.245,1.381,-,0.002,-,-,-,-,-,5.365,-,80.335,85.699,6.26
2012,057049,Lazio,Rieti,PESCOROCCHIANO,2207,Comune,-,-,-,1.640,-,-,-,-,-,0.095,-,-,-,0.300,2.035,8.800,1016.460,1027.295,0.20
2012,057050,Lazio,Rieti,PETRELLA SALTO,1205,Comune,-,-,9.100,13.500,-,0.500,3.900,0.780,-,-,-,-,-,-,27.780,-,633.940,661.720,4.20
2012,057051,Lazio,Rieti,POGGIO BUSTONE,2116,Comune,-,-,3.380,-,-,-,1.820,-,-,-,-,-,3.180,-,8.380,23.520,769.340,801.240,1.05
2012,057052,Lazio,Rieti,POGGIO CATINO,1339,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057053,Lazio,Rieti,POGGIO MIRTETO,5993,Aggregazione: Unione 'Bassa Sabina',-,-,142.898,58.020,0.001,2.132,8.547,-,0.019,-,-,-,-,-,211.617,19.160,8300.749,8531.525,2.48
2012,057054,Lazio,Rieti,POGGIO MOIANO,2803,Aggregazione: Unione 'Alta Sabina',-,-,83.289,18.488,0.001,2.007,8.062,-,0.018,-,-,-,-,-,111.865,-,3622.704,3734.569,3.00
2012,057055,Lazio,Rieti,POGGIO NATIVO,2469,Comune,-,-,5.160,8.170,-,-,3.360,1.600,1.410,-,-,-,-,0.600,20.300,50.840,1136.800,1207.940,1.68
2012,057056,Lazio,Rieti,POGGIO SAN LORENZO,578,Vedi aggregazione: Unione dei Comuni della Valle dell'Olio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057057,Lazio,Rieti,POSTA,685,Comune,-,-,0.960,-,-,-,-,-,-,-,-,-,-,-,0.960,33.920,311.860,346.740,0.28
2012,057058,Lazio,Rieti,POZZAGLIA SABINA,368,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057059,Lazio,Rieti,RIETI,46075,Comune,544.440,1096.560,995.940,562.020,299.190,89.720,142.620,271.030,-,8.550,-,-,209.160,12.120,4231.350,-,20117.000,24348.350,17.38
2012,057060,Lazio,Rieti,RIVODUTRI,1303,Comune,-,-,12.800,12.700,-,-,5.940,-,-,-,-,-,-,-,31.440,5.140,486.520,523.100,6.01
2012,057062,Lazio,Rieti,ROCCA SINIBALDA,848,Comune,-,-,8.548,6.306,0.000,0.684,5.250,3.012,0.006,-,-,-,-,-,23.806,-,424.833,448.639,5.31
2012,057061,Lazio,Rieti,ROCCANTICA,597,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057063,Lazio,Rieti,SALISANO,559,Comune,-,-,4.820,11.290,-,-,4.100,-,-,-,-,-,13.200,-,33.410,-,165.420,198.830,16.80
2012,057064,Lazio,Rieti,SCANDRIGLIA,2922,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057065,Lazio,Rieti,SELCI,1104,Aggregazione: Unione 'Nova Sabina',-,-,19.290,40.367,0.002,4.381,17.902,5.962,0.039,-,-,-,47.800,-,135.743,-,2436.891,2572.634,5.28
2012,057066,Lazio,Rieti,STIMIGLIANO,2270,Vedi aggregazione: Unione 'Bassa Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057067,Lazio,Rieti,TARANO,1430,Vedi aggregazione: Unione 'Bassa Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057068,Lazio,Rieti,TOFFIA,1006,Vedi aggregazione: Unione dei Comuni della Valle dell'Olio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057070,Lazio,Rieti,TORRI IN SABINA,1244,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057069,Lazio,Rieti,TORRICELLA IN SABINA,1407,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057071,Lazio,Rieti,TURANIA,246,Comune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155.260,155.260,-
2012,057072,Lazio,Rieti,VACONE,264,Vedi aggregazione: Comunita   Montana della Val d'Aia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,057073,Lazio,Rieti,VARCO SABINO,209,Comune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112.800,112.800,-
2012,058001,Lazio,Roma,AFFILE,1551,Comune,-,-,3.330,11.179,4.700,1.731,2.402,-,3.014,0.210,-,-,-,-,26.565,13.080,521.450,561.095,4.74
2012,058002,Lazio,Roma,AGOSTA,1766,Comune,-,-,4.279,6.878,5.730,3.214,2.948,-,3.160,0.142,-,-,-,-,26.351,-,729.425,755.776,3.49
2012,058003,Lazio,Roma,ALBANO LAZIALE,38368,Comune,-,81.540,376.190,202.720,75.630,-,121.510,8.300,81.000,3.910,-,-,137.880,-,1088.680,-,21984.740,23073.420,4.72
2012,058004,Lazio,Roma,ALLUMIERE,4131,Comune,283.000,23.910,204.215,197.358,104.994,13.313,65.461,55.440,5.869,8.607,-,-,-,-,962.167,-,479.523,1441.690,66.74
2012,058005,Lazio,Roma,ANGUILLARA SABAZIA,18609,Comune,971.360,714.970,609.400,445.440,141.600,-,255.580,-,-,1.520,-,-,-,11.880,3151.750,177.660,4770.160,8099.570,38.91
2012,058006,Lazio,Roma,ANTICOLI CORRADO,946,Comune,-,-,29.309,25.092,7.060,3.061,16.075,-,4.824,0.171,-,-,-,-,85.592,-,252.418,338.010,25.32
2012,058007,Lazio,Roma,ANZIO,49790,Comune,462.850,2982.100,869.894,379.819,333.853,12.586,235.807,137.440,0.043,10.270,-,-,163.700,-,5588.360,-,35505.475,41093.835,13.60
2012,058008,Lazio,Roma,ARCINAZZO ROMANO,1375,Comune,-,-,4.602,11.290,4.300,1.701,4.469,3.030,2.987,0.511,-,-,-,-,32.891,99.060,679.529,811.480,4.05
