anno,IstatComune,Regione,Provincia,Comune,Popolazione,Dato riferito a,Frazione umida(1) (t),Verde (t),Carta e cartone (t),Vetro (t),Legno (t),Metallo (t),Plastica (t),RAEE (t),Tessili (t),Selettiva (t),Rifiuti da C e D (t),Pulizia stradale a recupero (t),Ingombranti misti a recupero (t),Altro (t),Totale RD (t),Ingombranti a smaltimento (t),Indifferenziato (t),Totale RU (t),Percentuale RD (%)
2010,057035,Lazio,Rieti,MAGLIANO SABINA,3892,Comune,-,-,139.750,30.200,-,36.100,40.210,16.000,-,-,-,-,-,-,262.260,27.080,1825.520,2114.860,12.40
2010,057036,Lazio,Rieti,MARCETELLI,111,Comune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.440,39.600,45.040,-
2010,057037,Lazio,Rieti,MICIGLIANO,142,Comune,-,-,-,2.320,-,0.300,0.390,-,-,-,-,-,6.000,-,9.010,-,63.590,72.600,12.41
2010,057038,Lazio,Rieti,MOMPEO,546,Comune,-,-,6.280,3.943,-,0.238,3.935,1.980,-,0.020,-,-,-,-,16.395,18.440,175.465,210.300,7.80
2010,057039,Lazio,Rieti,MONTASOLA,420,Vedi aggregazione: Comunita   Montana della Val d'Aia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057043,Lazio,Rieti,MONTE SAN GIOVANNI IN SABINA,772,Comune,-,-,1.620,1.700,-,-,1.120,10.500,-,-,-,-,-,-,14.940,19.840,331.960,366.740,4.07
2010,057040,Lazio,Rieti,MONTEBUONO,938,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057041,Lazio,Rieti,MONTELEONE SABINO,1278,Aggregazione: Unione dei Comuni della Valle dell'Olio,-,-,48.930,5.660,-,-,1.600,-,-,-,-,-,-,-,56.190,10.460,1900.430,1967.080,2.86
2010,057042,Lazio,Rieti,MONTENERO SABINO,310,Comune,-,-,-,1.909,-,0.236,0.323,0.100,-,-,-,-,-,-,2.568,11.460,82.132,96.160,2.67
2010,057044,Lazio,Rieti,MONTOPOLI DI SABINA,4274,Vedi aggregazione: Unione 'Bassa Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057045,Lazio,Rieti,MORRO REATINO,371,Comune,-,-,4.070,-,-,-,1.920,0.130,-,-,-,-,-,-,6.120,1.920,163.420,171.460,3.57
2010,057046,Lazio,Rieti,NESPOLO,281,Comune,-,-,-,3.740,-,0.480,0.630,0.800,1.540,-,-,-,-,-,7.190,-,137.110,144.300,4.98
2010,057047,Lazio,Rieti,ORVINIO,472,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057048,Lazio,Rieti,PAGANICO,180,Comune,-,-,0.530,-,-,-,0.160,0.500,-,-,-,-,-,-,1.190,3.880,80.000,85.070,1.40
2010,057049,Lazio,Rieti,PESCOROCCHIANO,2290,Comune,-,-,-,3.315,-,0.410,0.560,0.160,-,0.120,-,-,-,3.500,8.065,32.160,1076.315,1116.540,0.72
2010,057050,Lazio,Rieti,PETRELLA SALTO,1271,Comune,-,-,6.350,8.060,-,-,1.970,1.220,-,-,-,-,-,-,17.600,51.900,689.520,759.020,2.32
2010,057051,Lazio,Rieti,POGGIO BUSTONE,2163,Comune,-,-,7.940,-,-,-,5.300,1.680,-,-,-,-,-,0.300,15.220,8.940,827.780,851.940,1.79
2010,057052,Lazio,Rieti,POGGIO CATINO,1377,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057053,Lazio,Rieti,POGGIO MIRTETO,6157,Aggregazione: Unione 'Bassa Sabina',-,-,223.375,31.062,-,2.936,104.171,-,-,-,-,-,-,-,361.544,671.580,8099.501,9132.625,3.96
2010,057054,Lazio,Rieti,POGGIO MOIANO,2959,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057055,Lazio,Rieti,POGGIO NATIVO,2527,Comune,-,-,0.560,3.401,-,0.421,1.055,1.760,-,-,-,-,-,0.600,7.797,64.060,1087.634,1159.490,0.67
2010,057056,Lazio,Rieti,POGGIO SAN LORENZO,589,Vedi aggregazione: Unione dei Comuni della Valle dell'Olio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057057,Lazio,Rieti,POSTA,724,Comune,-,-,2.660,2.705,-,0.335,0.857,0.520,-,-,-,-,-,0.380,7.457,24.820,375.143,407.420,1.83
2010,057058,Lazio,Rieti,POZZAGLIA SABINA,368,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057059,Lazio,Rieti,RIETI,47774,Comune,238.180,570.220,1107.220,384.699,353.000,182.548,192.679,407.620,-,19.760,-,-,-,22.150,3478.076,122.720,21653.369,25254.165,13.77
2010,057060,Lazio,Rieti,RIVODUTRI,1310,Comune,-,-,12.670,15.010,-,1.857,10.016,0.540,-,0.060,-,-,-,-,40.153,6.060,512.758,558.970,7.18
2010,057062,Lazio,Rieti,ROCCA SINIBALDA,844,Comune,-,-,8.120,9.440,-,-,3.060,-,-,-,-,-,-,-,20.620,20.280,453.240,494.140,4.17
2010,057061,Lazio,Rieti,ROCCANTICA,627,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057063,Lazio,Rieti,SALISANO,565,Comune,-,-,5.200,5.007,-,3.538,3.897,6.320,-,-,-,-,-,-,23.961,18.980,192.289,235.230,10.19
2010,057064,Lazio,Rieti,SCANDRIGLIA,3140,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057065,Lazio,Rieti,SELCI,1112,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057066,Lazio,Rieti,STIMIGLIANO,2206,Vedi aggregazione: Unione 'Bassa Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057067,Lazio,Rieti,TARANO,1495,Vedi aggregazione: Unione 'Bassa Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057068,Lazio,Rieti,TOFFIA,1085,Vedi aggregazione: Unione dei Comuni della Valle dell'Olio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057070,Lazio,Rieti,TORRI IN SABINA,1310,Vedi aggregazione: Unione 'Nova Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057069,Lazio,Rieti,TORRICELLA IN SABINA,1404,Vedi aggregazione: Unione 'Alta Sabina',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057071,Lazio,Rieti,TURANIA,247,Comune,-,-,-,-,-,-,-,0.550,-,-,-,-,-,-,0.550,-,166.500,167.050,0.33
2010,057072,Lazio,Rieti,VACONE,265,Vedi aggregazione: Comunita   Montana della Val d'Aia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,057073,Lazio,Rieti,VARCO SABINO,221,Comune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116.680,116.680,-
2010,058001,Lazio,Roma,AFFILE,1562,Comune,-,-,3.380,12.810,-,-,-,-,-,-,-,-,-,-,16.190,-,541.780,557.970,2.90
2010,058002,Lazio,Roma,AGOSTA,1768,Comune,-,-,-,-,-,-,-,-,-,0.108,-,-,-,-,0.108,47.100,700.040,747.248,0.01
2010,058003,Lazio,Roma,ALBANO LAZIALE,40516,Comune,-,30.940,438.950,233.960,-,-,124.110,21.740,28.500,1.130,-,-,-,2.840,882.170,264.460,22286.260,23432.890,3.77
2010,058004,Lazio,Roma,ALLUMIERE,4268,Comune,18.400,25.510,113.300,157.808,108.160,65.860,74.113,89.140,7.400,5.210,-,-,-,1.530,666.431,-,1508.549,2174.980,30.64
2010,058005,Lazio,Roma,ANGUILLARA SABAZIA,18882,Comune,661.590,633.838,1049.100,739.720,17.350,2.120,12.880,67.110,15.060,4.440,-,-,-,1.020,3204.228,57.420,6349.160,9610.808,33.34
2010,058006,Lazio,Roma,ANTICOLI CORRADO,969,Comune,-,-,0.510,2.612,-,0.137,1.055,-,-,0.141,-,-,-,-,4.455,4.380,304.013,312.848,1.42
2010,058007,Lazio,Roma,ANZIO,55413,Comune,-,2076.000,956.510,806.491,450.140,93.428,284.620,224.510,-,2.800,-,-,-,3.850,4898.349,176.620,37448.831,42523.800,11.52
2010,058008,Lazio,Roma,ARCINAZZO ROMANO,1466,Comune,-,-,3.730,-,-,-,-,-,-,-,-,-,-,-,3.730,-,695.120,698.850,0.53
2010,058117,Lazio,Roma,ARDEA,42879,Comune,2163.660,1114.520,672.990,404.820,-,33.520,307.860,87.346,-,2.427,-,-,-,15.760,4802.903,1044.050,20885.000,26731.953,17.97
2010,058009,Lazio,Roma,ARICCIA,18555,Comune,1154.280,296.600,764.770,341.604,234.690,26.010,119.446,148.480,19.969,7.625,-,-,-,17.840,3131.314,218.480,8918.840,12268.634,25.52
2010,058010,Lazio,Roma,ARSOLI,1670,Comune,-,-,52.549,5.850,1.750,0.132,27.931,3.470,-,0.185,-,-,-,-,91.867,3.870,453.682,549.419,16.72
2010,058011,Lazio,Roma,ARTENA,13959,Comune,-,-,39.590,108.952,-,1.829,20.023,-,5.520,0.070,-,-,-,-,175.983,270.870,7441.907,7888.760,2.23
2010,058012,Lazio,Roma,BELLEGRA,3008,Comune,-,-,-,-,-,-,-,4.360,3.825,-,-,-,-,-,8.185,36.950,1143.500,1188.635,0.69
2010,058013,Lazio,Roma,BRACCIANO,18889,Comune,441.610,116.160,930.618,380.936,196.880,57.107,122.124,210.820,57.620,8.480,-,-,-,9.820,2532.175,138.680,8583.248,11254.103,22.50
2010,058014,Lazio,Roma,CAMERATA NUOVA,485,Comune,-,-,0.500,-,-,-,0.180,1.600,-,0.059,-,-,-,-,2.339,-,237.420,239.759,0.98
2010,058015,Lazio,Roma,CAMPAGNANO DI ROMA,11166,Comune,105.650,3.000,123.070,141.019,61.740,16.412,83.109,22.050,-,0.020,-,-,-,3.560,559.629,93.950,2954.841,3608.420,15.51
2010,058016,Lazio,Roma,CANALE MONTERANO,3966,Comune,7.500,-,47.070,84.516,40.240,2.352,6.867,22.760,6.290,4.195,-,-,-,-,221.790,-,1792.566,2014.356,11.01
2010,058017,Lazio,Roma,CANTERANO,369,Comune,-,-,-,-,-,-,-,-,-,0.079,-,-,-,10.060,10.139,67.780,164.503,242.422,4.18
2010,058018,Lazio,Roma,CAPENA,9709,Comune,-,-,80.660,72.780,65.660,0.310,25.140,8.890,-,7.595,-,-,-,-,261.035,403.200,4789.910,5454.145,4.79
2010,058019,Lazio,Roma,CAPRANICA PRENESTINA,375,Comune,-,-,6.670,8.145,-,0.143,1.401,-,-,-,-,-,-,-,16.360,24.700,223.720,264.780,6.18
2010,058020,Lazio,Roma,CARPINETO ROMANO,4714,Comune,22.900,-,32.430,59.075,-,0.885,23.802,-,5.520,0.120,-,-,-,-,144.731,111.760,2162.969,2419.460,5.98
2010,058021,Lazio,Roma,CASAPE,748,Comune,-,-,4.359,7.151,-,0.145,2.916,-,-,0.022,-,-,-,-,14.593,31.380,290.206,336.179,4.34
2010,058022,Lazio,Roma,CASTEL GANDOLFO,9037,Comune,-,-,46.410,71.720,-,2.040,25.440,-,11.293,0.333,-,-,-,-,157.236,2.300,5745.720,5905.256,2.66
2010,058023,Lazio,Roma,CASTEL MADAMA,7568,Comune,-,-,38.028,64.592,26.200,2.798,0.920,19.920,-,0.355,-,-,-,-,152.813,48.760,2847.760,3049.333,5.01
2010,058025,Lazio,Roma,CASTEL SAN PIETRO ROMANO,859,Comune,-,-,34.820,12.990,-,9.500,19.040,-,-,0.094,-,-,-,-,76.444,-,268.824,345.268,22.14
2010,058024,Lazio,Roma,CASTELNUOVO DI PORTO,8886,Comune,-,298.540,287.950,384.719,-,40.418,29.185,55.830,-,0.250,-,-,-,-,1096.891,-,3447.353,4544.244,24.14
2010,058026,Lazio,Roma,CAVE,10924,Comune,-,-,122.274,47.960,-,12.530,28.740,-,-,0.553,-,-,-,-,212.057,310.720,5017.380,5540.157,3.83
2010,058027,Lazio,Roma,CERRETO LAZIALE,1206,Comune,-,-,5.910,5.450,-,0.190,2.260,-,-,0.170,-,-,-,-,13.980,-,539.070,553.050,2.53
2010,058028,Lazio,Roma,CERVARA DI ROMA,502,Comune,-,-,5.490,5.560,-,0.320,2.330,-,-,0.070,-,-,-,-,13.770,-,267.800,281.570,4.89
2010,058029,Lazio,Roma,CERVETERI,36229,Comune,-,219.820,359.210,370.440,-,10.139,196.239,69.520,-,0.480,-,-,-,-,1225.848,1399.620,18155.522,20780.990,5.90
2010,058118,Lazio,Roma,CIAMPINO,38529,Comune,2415.760,153.800,1227.060,1018.150,90.520,223.110,27.500,257.110,64.000,19.520,-,-,-,-,5496.530,1193.540,6272.210,12962.280,42.40
2010,058030,Lazio,Roma,CICILIANO,1459,Comune,-,-,-,0.460,-,-,0.460,0.920,-,0.032,-,-,-,-,1.872,26.640,605.822,634.334,0.30
2010,058031,Lazio,Roma,CINETO ROMANO,668,Comune,-,-,3.800,5.700,-,0.390,0.860,-,-,0.111,-,-,-,-,10.861,-,368.949,379.810,2.86
2010,058032,Lazio,Roma,CIVITAVECCHIA,52294,Comune,-,0.640,999.800,585.080,13.940,5.760,366.220,37.400,-,3.919,-,-,-,-,2012.759,111.650,27024.310,29148.719,6.91
